name,lat,lon,district,description
Sarawak Arts Museum, 1.5553840262918612, 110.34393054232822, Kuching, The Sarawak Art Museum completed in 1949 served as a State Library until becoming a state museum and archive in 1959 opened to the public on 20 September 2006 by a representative for Pehin Seri Hj Taib Mahmud currently closed since 14 August 2019 with reopening date to be announced.
Sri Aman Heritage Museum (Fort Alice), 1.2399244725890188, 111.46186436759409, Sri Aman, Built in 1864 during Sir Charles Brooke’s reign Fort Alice is Sri Aman's oldest building originally established as Fort James to safeguard merchant ships and prevent raids along Batang Lupar River After an attack it was moved to a more secure location and renamed Fort Alice after Brooke's wife Refurbished in 2013 it now serves as Sri Aman Heritage Museum open Monday to Friday 9:00 am-4:45 pm weekends and holidays 10:00 am-4:00 pm with free admission and closure on major public holidays
Petroleum Museum, 4.392372337906515, 113.99488680788238, Miri, The Petroleum Museum at Bukit Tenaga formerly Bukit Kanada showcases the first oil well in Sarawak the Grand Old Lady established in 1910 With exhibits sponsored by Petronas and Shell Malaysia the museum was inaugurated on 25 April 2003 It offers interactive displays and a range of artifacts for visitors Open Monday to Friday from 9:00 am to 4:45 pm and weekends and public holidays from 10:00 am to 4:00 pm The museum is closed on major holidays and offers free admission.
Niah Archaeology Museum, 3.8225121054865316, 113.76240299642615, Subis, The Niah Archaeology Museum near the Niah Caves in Miri Division displays artefacts from the area's 40,000-year human history showcasing prehistoric culture and lifestyles of past inhabitants. Open weekdays from 9:00 am to 4:45 pm and weekends and public holidays from 10:00 am to 4:00 pm. It's closed on major holidays. Admission is free.
Limbang Regional Museum (Old Fort), 4.748125903684374, 115.0061566675906, Limbang, Limbang Regional Museum also known as Old Fort showcases local history and culture with exhibits on bamboo bands salt-making beadwork and more opened by Datuk Adenan Haji Satem on 27 August 1994 open weekdays 9:00 am - 4:45 pm weekends 10:00 am - 4:00 pm closed on major holidays free admission.
Baram Regional Museum (Fort Hose), 4.1773591038377536, 114.32474429642625, Marudi, Baram Regional Museum located in Fort Hose offers exhibits of historical and cultural artifacts from local communities like Kayan Kenyah Kelabit Penan showcasing their lifestyle and economy open Monday to Friday 9:00 am - 4:45 pm weekends and public holidays 10:00 am - 4:00 pm closed on major holidays with free entry.
Natural History Museum,1.6000,110.4100, Kuching, Natural History Museum once known as Second Ladies Club built in 1908 now displays Borneo's natural history collections including mammals' skeletons invertebrates reptiles birds fishes and mollusks with extinct species exhibits open weekdays 9:00 am - 4:45 pm weekends/public holidays 10:00 am - 4:00 pm closed on major holidays admission free.
Islamic Heritage Museum,1.4900,110.2700, Kuching, Sarawak Islamic Heritage Museum opened 22 May 1992 by Datuk Patinggi Tan Sri Dr. Haji Abdul Taib Mahmud was a school known as James Brooke Malay College and Madrasah Melayu Sarawak aimed to train Malay teachers houses seven galleries showcasing Islamic civilization in areas like history architecture science technology economics education costumes music personal items weaponry decorative arts domestic tools and the Quran open weekdays 9:00 am - 4:45 pm weekends/public holidays 10:00 am - 4:00 pm closed on selected holidays admission free.
Sarawak Textile Museum,1.6300,110.4400, Kuching, The Sarawak Textile Museum set in a 1907 building displays local textiles like Pua Kumbu and Kain Songket Melayu Sarawak with interactive exhibits on the textile-making process. Opened in August 2000 it's temporarily closed for maintenance with reopening details to be announced.
Fort Margherita (Brooke Gallery),1.6500,110.4600, Kuching, The Brooke Gallery developed with the Sarawak Museum showcases the history of Sarawak and the 'White Rajahs' during the Brooke era located in the restored Fort Margherita opened on 24 September 2016 featuring artefacts from the Brooke Family's collection supported by donations.
Chinese History Museum,1.6200,110.4500, Kuching, The Chinese History Museum established in 1993 showcases the legacy of Sarawak's Chinese settlers in a 1912 building on Kuching River Cliffs. It opens Monday to Friday 9:00 am to 4:45 pm, weekends and public holidays 10:00 am to 4:00 pm, with free admission and closed on major holidays.
Museum Sarawak (New),1.4800,110.2600, Kuching, The Borneo Cultures Museum in Kuching city showcases five stories of Sarawak's crafts and heritage featuring galleries for children arts crafts nature history and iconic artefacts serving as a hub for cultural exchange open Monday to Friday 9:00 am - 4:45 pm weekends 9:30 am - 4:30 pm closed on selected holidays.
Cat Museum,1.586578542319479, 110.33400593861946, Kuching, Kuching Cat Museum located in Petra Jaya within Kuching City North City Hall is the world's first museum dedicated to cats with exhibits photos art and souvenirs spread over four galleries in a 1035 sq meter space open daily from 9.00 a.m. to 5.00 p.m. except public holidays
Dewan Tun Razak, 1.5557846351829276, 110.34229911351645, Kuching, Dewan Tun Abdul Razak part of Sarawak Museum named after Malaysia's second Prime Minister showcases two floors of exhibits including a legislative hall turned temporary exhibition space and a museum shop on the ground floor and pre-historical items like jars brasswares and Chinese furniture on the first floor open Monday to Friday 9:00 am - 4:45 pm weekends and public holidays 10:00 am - 4:00 pm with free admission in Kuching.
Museum Sarawak,1.5551865207940132, 110.34348557286333, Kuching, Sarawak Museum in Kuching showcases native arts crafts and local animal collections inspired by naturalist Alfred Wallace housed in a building established in 1891 and expanded in 1911 with operational times from 9:00 am to 4:45 pm on weekdays and 10:00 am to 4:00 pm on weekends reachable at +6082-244261.
Fort Emma, 2.1018498464241784, 112.1580530471528, Kanowit, Fort Emma in Kanowit is a Brooke Era wooden fort and a notable landmark surrounded by 1930s Chinese shophouses near the waterfront accessible via road or express boat an hour from Sibu open Tuesday to Sunday from 9:00 AM to 4:30 PM and closed on Mondays.
