name,domestic,foreign,year
Kubah National Park,6647,2047.0,2011
Bako National Park,12019,29451.0,2011
Mulu National Park,7099,15227.0,2011
Niah National Park,18977,6416.0,2011
Lambir National Park,11438,3799.0,2011
Similajau National Park,10490,1824.0,2011
Gading National Park,22964,4247.0,2011
Matang National Park,29590,5556.0,2011
Batang Ai National Park,135,53.0,2011
Sama Jaya National Reserves,154311,,2011
Loagan Bunut National Park,638,130.0,2011
Tanjung Datu National Park,231,133.0,2011
Wind Cave,13324,2423.0,2011
Talang Satang,428,47.0,2011
Maludam National Reserves,0,,2011
Semenggoh Wildlife Sanctuary,76748,51197.0,2011
Mulu National Park,2377,13331.0,2012
Niah National Park,18868,6295.0,2012
Bako National Park,13476,30993.0,2012
Matang National Park,19735,3180.0,2012
Semenggoh Wildlife Sanctuary,60567,41725.0,2012
Lambir National Park,13019,4854.0,2012
Batang Ai National Park,62,91.0,2012
Similajau National Park,12016,1123.0,2012
Talang Satang,664,485.0,2012
Gading National Park,20421,5624.0,2012
Sama Jaya National Reserves,126901,,2012
Loagan Bunut National Park,638,22.0,2012
Tanjung Datu National Park,254,150.0,2012
Wind Cave,12961,6056.0,2012
Maludam National Reserves,0,,2012
Kubah National Park,9686,5931.0,2012
Similajau National Park,9835,1226.0,2013
Bako National Park,13112,32344.0,2013
Mulu National Park,6286,12871.0,2013
Niah National Park,20543,5863.0,2013
Lambir National Park,11406,3279.0,2013
Gading National Park,14162,3524.0,2013
Kubah National Park,7260,2787.0,2013
Matang National Park,20695,3236.0,2013
Maludam National Reserves,0,,2013
Semenggoh Wildlife Sanctuary,63986,36824.0,2013
Sama Jaya National Reserves,109339,42.0,2013
Loagan Bunut National Park,586,64.0,2013
Tanjung Datu National Park,235,179.0,2013
Wind Cave,23508,4103.0,2013
Talang Satang,398,1503.0,2013
Batang Ai National Park,142,74.0,2013
Bako National Park,14837,32622,2014
Gunung Mulu National Park,6549,13635,2014
Lambir Hills National Park,13776,3727,2014
Similajau National Park,12087,1288,2014
Kubah National Park,9147,3481,2014
Gunung Gading National Park,18101,2868,2014
Niah National Park,19829,5684,2014
Matang Wildlife Centre,28834,5059,2014
Semenggoh Nature Reserves,57508,34889,2014
Sama Jaya Forest Park,147467,15,2014
Loagan Bunut National Park,847,32,2014
Tanjung Datu National Park,191,340,2014
Wind Cave Nature Reserves,25286,4446,2014
Talang Satang National Park,398,1108,2014
Fairy Cave National Reserves,17532,5804,2014
Batang Ai National Park,36,34,2014
Niah National Park,21866,5189,2015
Lambir Hills National Park,12902,3401,2015
Gunung Mulu National Park,5780,12843,2015
Similajau National Park,11727,2676,2015
Gunung Gading National Park,16185,2082,2015
Batang Ai National Park,50,24,2015
Matang Wildlife Centre,33162,3690,2015
Tanjung Datu National Park,536,477,2015
Sama Jaya Forest Park,169756,3941,2015
Loagan Bunut National Park,1048,51,2015
Wind Cave Nature Reserves,23911,3761,2015
Talang Satang National Park,266,963,2015
Fairy Cave National Reserves,20146,5081,2015
Santubong National Park,8074,2017,2015
Maludam National Park,0,6,2015
Semenggoh Nature Reserves,46304,30335,2015
Bako National Park,17896,28211,2015
Kubah National Park,16185,3163,2015
Similajau National Park,12211,2211,2016
Lambir Hills National Park,13994,3524,2016
Bako National Park,20660,30610,2016
Gunung Mulu National Park,7688,14700,2016
Niah National Park,24847,5389,2016
Maludam National Park,-,-,2016
Fairy Cave Nature Reserves,23560,5576,2016
Talang Satang National Park,244,852,2016
Santubong National Park,20109,2600,2016
Tanjung Datu National Park,706,405,2016
Loagan Bunut National Park,1002,84,2016
Semenggoh Nature Reserves,48779,34330,2016
Matang Wildlife Centre,35408,4014,2016
Batang Ai National Park,50,24,2016
Gunung Gading National Park,16981,1858,2016
Kubah National Park,17446,3730,2016
Wind Cave Nature Reserves,25047,4080,2016
Kubah National Park,18712,3721,2017
