name,domestic,foreign
Bako National Park,22719,35304
Gunung Mulu National Park,7827,15903
Niah National Park,23546,4660
Lambir Hills National Park,12777,2807
Similajau National Park,13256,1158
Kubah National Park,18712,3721
Gunung Gading National Park,17044,2398
Batang Ai National Park,347,42
Matang Wildlife Centre,30707,3546
Semenggoh Nature Reserves,50182,37881
Loagan Bunut National Park,260,28
Tanjung Datu National Park,933,389
Wind Cave Nature Reserves,22364,4203
Talang Satang National Park,191,624
Fairy Cave Nature Reserves,24020,6551
Santubong National Park,20109,3058
