Year,Month,Foreign,Domestic
2011,January,190789,115555
2011,February,154339,101257
2011,March,193302,105927
2011,April,183984,113841
2011,May,182323,100180
2011,June,182980,153672
2011,July,200540,109649
2011,August,200760,118666
2011,September,189112,127088
2011,October,165799,113851
2011,November,202452,126040
2011,December,296856,166411
2012,January,227520,130340
2012,February,188657,96054
2012,March,245508,110478
2012,April,207215,108848
2012,May,194884,119832
2012,June,218075,123387
2012,July,195688,107913
2012,August,238913,124567
2012,September,202037,104905
2012,October,212395,112413
2012,November,217361,129722
2012,December,286462,165849
2013,January,224808,117871
2013,February,211371,124060
2013,March,240762,130494
2013,April,204351,116851
2013,May,184007,146931
2013,June,215949,171378
2013,July,194663,127170
2013,August,240099,159167
2013,September,209161,130842
2013,October,207844,124132
2013,November,214101,155714
2013,December,317566,202456
2014,January,226275,143425
2014,February,210540,126672
2014,March,245952,156584
2014,April,218200,146955
2014,May,245101,166020
2014,June,248774,172833
2014,July,226131,122344
2014,August,280628,152802
2014,September,256923,155576
2014,October,283973,156226
2014,November,237161,158433
2014,December,316197,204142
2015,January,233601,140928
2015,February ,232178,156825
2015,March,263406,172358
2015,April,241911,159075
2015,May,197129,171702
2015,June,177172,175406
2015,July,218701,181301
2015,August,190571,154286
2015,September,183673,164626
2015,October,175902,156182
2015,November,157815,172207
2015,December,224957,215267
2016,January,147168,135923
2016,February,168753,195430
2016,March,204695,206557
2016,April,182411,188652
2016,May,170444,206510
2016,June,162676,196475
2016,July,194354,250398
2016,August,191766,190537
2016,September,196336,202388
2016,October,192199,201503
2016,November,176865,189191
2016,December,270989,238880
2017,January,229884,190566
2017,February,201057,168578
2017,March,273546,202886
2017,April,227910,181754
2017,May,214065,207448
2017,June,237581,190645
2017,July,228159,178200
2017,August,218519,156581
2017,September,227292,189589
2017,October,176083,186225
2017,November,173471,167500
2017,December,231955,197394
2018,January,171630,154717
2018,February,164392,213513
2018,March,199581,171727
2018,April,171132,159873
2018,May,165130,178945
2018,June,190954,190935
2018,July,170250,199709
2018,August,174068,149748
2018,September,196391,207421
2018,October,162990,204907
2018,November,163351,207334
2018,December,183106,279117
2019,January,146999,214335
2019,February,155926,180562
2019,March,177357,242664
2019,April,147573,206805
2019,May,171183,154230
2019,June,186017,246555
2019,July,188150,159333
2019,August,179595,158535
2019,September,192673,258430
2019,October,153363,242721
2019,November,161344,251595
2019,December,222264,264210
2020,January,171704,248072
2020,February,111275,199893
2020,March,56367,116832
2020,April,2063,8018
2020,May,2215,14517
2020,June,3009,27291
2020,July,3679,68976
2020,August,3028,41128
2020,September,3615,74072
2020,October,2967,15371
2020,November,1626,11736
2020,December,1756,10662
2021,January,2738,10327
2021,February,1600,7369
2021,March,1821,9280
2021,April,1543,11302
2021,May,1406,8892
2021,June,1367,7122
2021,July,1310,7876
2021,August,2420,6405
2021,September,1327,8069
2021,October,1616,19310
2021,November,2354,44812
2021,December,2876,72103
