Year,Month,Singapore,Australia,New Zealand,Canada,United Kingdom,Hong Kong,Sri Lanka,Bangladesh,India,Brunei,USA,China,Russia,Latin America,Arabs,Germany,France,Nor/Swe/Den/Fin,Belg/Lux/Net,Others Europe,Philippines,Thailand,Taiwan,Indonesia,Pakistan,Japan,South Korea,Others,Peninsular Malaysia,Sabah,,45986,19429,5419,7354,29672,397,1104,1727,22116,1553523,10759,35309,782,1464,3109,7198,5402,4987,10764,11149,77652,18130
2011,January,2845,2041,396,610,2337,44,65,137,1728,125488,957,2842,71,87,195,469,207,547,535,706,6648,1526,644,35507,435,782,659,2281,62244,53311,,,,,,,,,,,,,,,,,,,,,,,
2011,February,2630,1258,339,577,2285,22,114,157,1530,89896,758,2969,40,120,165,605,304,509,462,700,6288,1289,513,37437,319,689,451,1913,53191,48066,,,,,,,,,,,,,,,,,,,,,,,
2011,March,3531,1126,393,602,2441,52,99,137,1563,123927,789,2802,40,89,132,460,356,368,547,681,6600,1070,441,41388,304,693,320,2351,53005,52922,,,,,,,,,,,,,,,,,,,,,,,
2011,April,3494,1772,499,563,2786,28,80,132,1707,115146,914,2777,47,91,244,583,445,448,776,759,6448,1216,589,38862,297,767,348,2166,63143,50698,,8743,415267,3798,10249,5677,26070,,,,,,,,,,,,,,,,
2011,May,3293,1449,433,665,2184,42,99,183,1776,125128,907,2933,86,114,229,798,389,223,873,638,6750,1481,767,27338,268,779,415,2083,60508,39672,,,,,,,,,,,,,,,,,,,,,,,
2011,June,5176,1457,545,534,2045,18,79,132,1597,117714,914,2820,86,143,346,506,449,307,814,728,5307,1060,653,35722,333,864,516,2115,85783,67889,,,,,,,,,,,,,,,,,,,,,,,
2011,July,3651,2131,625,725,3011,24,106,242,2021,126994,1157,3277,78,130,406,806,920,656,1954,1420,6296,1197,1040,37136,395,966,536,2640,61989,47660,,,,,,,,,,,,,,,,,,,,,,,
2011,August,2999,1387,446,556,2755,40,108,91,1603,141195,868,3382,35,76,245,885,942,331,1218,2264,5661,1079,965,27535,277,1010,502,2305,61971,56695,,,,,,,,,,,,,,,,,,,,,,,
2011,September,3211,1544,334,502,2387,37,96,144,1586,129378,778,2926,73,251,263,607,363,356,1084,854,5747,1013,1010,30748,321,930,405,2164,70893,56195,,,,,,,,,,,,,,,,,,,,,,,
2011,October,3010,1579,483,683,2645,25,81,98,1578,106108,940,2804,99,115,321,594,438,429,1052,840,5328,1014,691,31420,263,946,472,1743,61151,52700,,,,,,,,,,,,,,,,,,,,,,,
2011,November,5324,1611,401,595,2289,20,89,94,2511,134685,838,2694,46,77,282,461,262,416,696,716,7607,2933,661,33747,266,898,501,1732,69371,56669,,,,,,,,,,,,,,,,,,,,,,,
2011,December,6822,2074,525,742,2507,45,88,180,2916,217864,939,3083,81,171,281,424,327,397,753,843,8972,3252,769,38427,320,925,552,2577,91529,74882,,,,,,,,,,,,,,,,,,,,,,,
2012,January,4382,2889,526,750,2301,21,112,168,2526,157265,960,2856,76,103,327,443,267,374,717,801,8805,2961,761,33052,269,887,702,2219,73003,57337,,,,,,,,,,,,,,,,,,,,,,,
2012,February,3047,1292,423,739,2516,21,168,241,2314,121857,978,3338,67,114,378,569,386,484,831,963,8251,2614,613,31888,365,1465,480,2255,55987,40067,,,,,,,,,,,,,,,,,,,,,,,
2012,March,5159,1699,480,849,2983,32,70,192,2706,169687,1225,3682,99,130,348,1269,436,440,864,1023,9238,3069,721,34664,369,1165,417,2492,64369,46109,,,,,,,,,,,,,,,,,,,,,,,
2012,April,4760,1642,399,746,2867,5,105,142,2798,135330,1017,3913,79,137,205,631,505,423,581,980,9726,3086,889,32286,358,1146,412,2047,65905,42943,,,,,,,,,,,,,,,,,,,,,,,
2012,May,4398,1496,403,693,2625,7,80,188,2804,128191,981,3808,38,81,204,424,492,279,615,877,9141,2383,590,30326,343,1205,391,1821,70024,49808,,,,,,,,,,,,,,,,,,,,,,,
2012,June,5749,2065,708,708,2879,29,196,314,2995,144804,1266,3508,64,122,739,667,367,430,864,1103,8774,2490,581,31445,471,1361,563,2813,75608,47779,,,,,,,,,,,,,,,,,,,,,,,
2012,July,4177,2191,604,880,2909,113,71,240,2731,119986,1363,3960,70,144,665,860,917,794,1970,1662,9193,2394,884,32366,340,1192,595,2417,64000,43913,,,,,,,,,,,,,,,,,,,,,,,
2012,August,4111,1612,594,715,3188,30,171,293,2818,160138,1154,3640,61,330,606,995,1011,452,1133,2574,9387,2505,768,35223,424,1388,583,3009,71161,53406,,,,,,,,,,,,,,,,,,,,,,,
2012,September,4230,1889,555,661,2608,20,177,364,2844,122304,1130,3720,77,131,592,773,350,386,1045,1363,10264,2958,987,37161,450,1373,528,3097,64123,40782,,,,,,,,,,,,,,,,,,,,,,,
2012,October,4340,1739,639,777,2891,12,163,304,4711,129773,1217,3532,93,118,612,750,485,521,766,1337,9992,2839,801,38568,377,1415,525,3098,69709,42704,,,,,,,,,,,,,,,,,,,,,,,
2012,November,4919,1651,596,688,2441,23,79,203,2611,140204,1036,3782,62,115,524,691,274,431,539,1425,9568,2409,638,37726,305,1259,570,2592,80715,49007,,,,,,,,,,,,,,,,,,,,,,,
2012,December,6402,2012,797,682,2991,19,75,239,3029,199384,1234,3587,83,160,614,650,304,519,695,1331,10835,2613,677,42367,360,1338,521,2944,105154,60695,,,,,,,,,,,,,,,,,,,,,,,
2013,January,3611,1794,579,725,2194,6,73,585,2804,144913,992,3111,169,86,248,521,272,434,491,922,10335,2806,703,40701,1163,1105,643,2822,74239,43632,,,,,,,,,,,,,,,,,,,,,,,
2013,February,4157,1562,505,915,2379,9,194,355,2904,132225,1123,3361,86,83,329,618,294,578,614,848,10031,3100,989,39660,348,1101,525,2478,81853,42207,,,,,,,,,,,,,,,,,,,,,,,
2013,March,5228,1707,611,865,2919,220,91,311,2950,157924,1425,3442,121,418,283,963,493,706,650,1297,9221,3201,885,39724,367,1181,577,2982,86977,43517,,,,,,,,,,,,,,,,,,,,,,,
2013,April,4362,1759,434,655,2925,11,85,283,3221,127311,916,4072,83,98,275,597,464,422,526,1118,10424,2950,636,36080,331,1124,452,2737,78221,38630,,,,,,,,,,,,,,,,,,,,,,,
2013,May,4520,1591,545,741,3249,17,108,240,3088,111249,1119,3540,112,174,319,557,512,482,676,1182,9506,2462,601,32494,334,1246,571,2772,97715,49216,,,,,,,,,,,,,,,,,,,,,,,
2013,June,6346,1987,478,615,2839,65,67,277,2874,140487,1260,3168,75,405,402,517,425,475,706,1395,9000,2362,598,34163,379,1158,647,2779,111731,59647,,,,,,,,,,,,,,,,,,,,,,,
2013,July,3566,1856,495,671,3021,58,63,233,2571,119401,1050,3642,84,123,320,759,910,731,1639,2138,8930,2265,615,35119,235,1096,547,2525,88391,38779,,,,,,,,,,,,,,,,,,,,,,,
2013,August,3830,1582,465,736,3422,26,92,217,2799,152895,1125,3711,106,115,336,926,979,593,1098,2640,9999,2224,753,44244,349,1254,661,2922,102858,56309,,,,,,,,,,,,,,,,,,,,,,,
2013,September,4261,1903,423,581,2776,10,171,227,2603,129345,1120,3412,102,86,361,742,399,474,862,1592,11130,2862,623,38922,377,947,496,2354,86505,44337,,,,,,,,,,,,,,,,,,,,,,,
2013,October,3955,1638,532,724,2939,5,80,203,2867,130531,999,3502,112,124,349,528,424,741,740,1433,10108,2516,506,37590,417,1008,490,2783,83146,40986,,,,,,,,,,,,,,,,,,,,,,,
2013,November,4846,1628,332,668,2491,23,73,198,2712,134586,973,3576,117,108,332,518,319,550,589,1359,9811,2366,647,40863,364,1078,499,2475,104854,50860,,,,,,,,,,,,,,,,,,,,,,,
2013,December,6110,2274,547,696,3009,81,89,180,2844,229237,1030,3646,82,98,443,494,400,513,571,1389,11075,2342,614,45101,397,982,612,2710,125394,77062,,,,,,,,,,,,,,,,,,,,,,,
2014,January,4204,2202,509,890,2251,267,60,285,2835,142079,1132,3510,162,76,399,546,513,597,630,1490,11028,3143,664,42099,340,971,703,2690,86253,57172,,,,,,,,,,,,,,,,,,,,,,,
2014,February,3372,1401,353,809,2278,459,145,238,2789,134888,969,3764,70,77,367,532,368,545,519,1876,10244,2611,709,37250,336,1038,569,1964,74805,51867,,,,,,,,,,,,,,,,,,,,,,,
2014,March,4409,1552,446,846,2998,402,65,190,2603,164170,1044,3752,144,111,389,1308,538,568,633,1346,10183,2827,618,40087,339,1298,599,2487,93070,63514,,,,,,,,,,,,,,,,,,,,,,,
2014,April,3939,1929,443,615,2760,15,91,269,2671,134639,938,3658,101,114,290,805,534,464,707,1315,11047,2873,554,42870,340,895,552,2772,89466,57489,,,,,,,,,,,,,,,,,,,,,,,
